document_text;document_identifier;order
"1. Se proporcionará a las personas solicitantes de protección internacional, siempre que carezcan de recursos económicos, los servicios sociales y de acogida necesarios con la finalidad de asegurar la satisfacción de sus necesidades básicas en condiciones de dignidad, sin perjuicio, en tanto que extranjeros, de lo establecido en la Ley Orgánica 4/2000, de 11 de enero, sobre derechos y libertades de los extranjeros en España y su integración social, y en su normativa de desarrollo.
2. Los servicios sociales y de acogida específicamente destinados a las personas solicitantes de protección internacional se determinarán reglamentariamente por el Ministerio competente.
3. Si se comprobara que la persona solicitante dispone de suficientes medios de acuerdo con la normativa vigente, para cubrir los costes inherentes a los servicios y prestaciones reservados a personas que carezcan de recursos económicos, se procederá a la reclamación de su reembolso.";BOE2009_Art30;30
"1. Los servicios de acogida, su definición, disponibilidad, programas y servicios, específicamente destinados a aquellas personas que soliciten protección internacional, se determinarán reglamentariamente por el Ministerio competente para atender las necesidades básicas de estas personas.
Este Ministerio podrá prestar por sí mismo esos servicios de acogida de forma directa, de forma indirecta por fórmulas contractuales, o bien, mediante la correspondiente autorización de acción concertada a entidades cuando no sea necesario celebrar contratos públicos, tal y como establece el artículo 11.6 de la Ley 9/2017, de 8 de noviembre, de contratos del sector público.
Asimismo, también será posible prestar los servicios de acogida a través de los centros subvencionados a organizaciones no gubernamentales. En ningún caso podrá duplicarse la financiación pública de los servicios prestados por estas organizaciones, concurriendo la financiación obtenida por la autorización de acción concertada y por las subvenciones.
A los efectos de esta ley se entiende por acción concertada el instrumento por el que se concede la autorización a aquellas entidades que cumplan las condiciones previamente fijadas de forma reglamentaria para la prestación de servicios de acogida de responsabilidad pública, debiendo el sistema que se establezca, en todo caso, cumplir todos los requisitos que contempla el artículo 11.6 de la Ley 9/2017, de 8 de noviembre, incluidos los principios de publicidad, transparencia y no discriminación.
La financiación de la acción concertada, el cumplimiento de los requisitos de acceso y el control de la prestación de los servicios se realizará por el Ministerio competente para prestar los servicios de acogida, según se establezca de forma reglamentaria.
Estas entidades habrán de acreditar la disposición de medios y recursos necesarios para la prestación de los servicios de acción concertada. En todo caso, se acreditará la propiedad de los centros en que se vaya a desarrollar la acción concertada, o, en su defecto, el derecho al uso, con este fin, de los bienes inmuebles, ya sean de propiedad privada o pública, por un periodo no inferior al de vigencia de la autorización de acción concertada, que podrá alcanzar cuatro años prorrogables de mutuo acuerdo, por igual periodo, sin perjuicio de poder solicitar una nueva autorización una vez expirada la anterior. Excepcionalmente, en situaciones de necesidad y siempre que concurran razones de interés público, dicho derecho al uso podrá ser por un periodo inferior al de vigencia de la autorización de la acción concertada.
Con carácter general, la Administración anticipará hasta el 50 % de la retribución máxima acordada por las prestaciones y servicios asignados que supondrán entregas de fondos con carácter previo a la justificación, como financiación necesaria para poder llevar a cabo las actuaciones inherentes a la acción concertada.
Los pagos anticipados se deberán asegurar mediante la prestación de garantía. Las entidades no lucrativas autorizadas quedan exoneradas de la constitución de garantía de los fondos entregados.
La falta de constitución y acreditación de la garantía ante el órgano competente implicará la retención del pago de la retribución, hasta el momento en que se acredite, pudiendo dar lugar a la pérdida del derecho al pago de forma definitiva cuando, habiéndose realizado requerimiento previo del órgano concedente para que se acredite la constitución de la garantía, éste no fuera atendido en el plazo de 15 días.
Reglamentariamente se desarrollarán, entre otras materias, los aspectos y criterios de la organización de los servicios de acogida a través de la acción concertada, las condiciones que deben cumplir las entidades para obtener la correspondiente autorización, los supuestos de pérdida de autorización para el caso de incumplimiento de obligaciones, así como el cálculo de su retribución. Este cálculo tendrá en consideración que, la retribución se limitará a los costes necesarios para prestar los servicios establecidos.
2. Se adoptarán, con el acuerdo de los interesados, las medidas necesarias para mantener la unidad de la familia, integrada por los miembros enumerados en el artículo 40 de esta Ley, tal y como se encuentre presente en el territorio español, siempre que se reúnan los requisitos que se señalan en la presente Ley.";BOE2009_Art31;31
Las personas solicitantes de protección internacional serán autorizadas para trabajar en España en los términos que reglamentariamente se establezcan.;BOE2009_Art32;32
"1. El Ministerio competente en el ejercicio de las competencias sobre servicios, ayudas y prestaciones de los diferentes programas de acogida, podrá reducir o retirar alguno o la totalidad de los servicios de acogida en los siguientes casos:
a) cuando la persona solicitante abandone el lugar de residencia asignado sin informar a la autoridad competente o, en caso de haberlo solicitado, sin permiso;
b) cuando la persona solicitante accediese a recursos económicos y pudiese hacer frente a la totalidad o parte de los costes de las condiciones de acogida o cuando hubiere ocultado sus recursos económicos, y, por tanto, se beneficie indebidamente de las prestaciones de acogida establecidas;
c) cuando se haya dictado resolución de la solicitud de protección internacional, y se haya notificado al interesado, salvo lo dispuesto en el apartado tercero del artículo 36 de esta Ley;
d) cuando por acción u omisión se vulneren los derechos de otros residentes o del personal encargado de los centros donde estén acogidos o se dificulte gravemente la convivencia en ellos, de conformidad con lo establecido en las normas internas de los mismos;
e) cuando haya finalizado el periodo del programa o prestación autorizado.
2. Las personas solicitantes de protección internacional podrán ver reducidos o retirados los programas de ayudas del servicio de acogida, como consecuencia de las sanciones que se deriven de la comisión de alguna de las faltas enunciadas en el apartado primero de este artículo.
3. A los efectos del apartado anterior, el sistema de faltas y sanciones a aplicar en los centros de acogida será el que de forma reglamentaria establezca el Ministerio competente.";BOE2009_Art33;33
"La presentación de las solicitudes de protección internacional se comunicará al ACNUR, quien podrá informarse de la situación de los expedientes, estar presente en las audiencias a la persona solicitante y presentar informes para su inclusión en el expediente.
A estos efectos, tendrá acceso a las personas solicitantes, incluidas las que se encuentren en dependencias fronterizas o en centros de internamiento de extranjeros o penitenciarios.";BOE2009_Art34;34
"1. El representante en España del ACNUR será convocado a las sesiones de la Comisión Interministerial de Asilo y Refugio.
2. Asimismo será informado inmediatamente de la presentación de las solicitudes en frontera y podrá entrevistarse, si lo desea, con los solicitantes. Con carácter previo a dictarse las resoluciones que sobre estas solicitudes prevén los apartados primero, segundo y tercero del artículo 21 de la presente Ley, se dará audiencia al ACNUR.
3. En los casos que se tramiten las solicitudes mediante el procedimiento de urgencia, y en los casos de admisión a trámite del artículo 20, si la propuesta de resolución de la Oficina de Asilo y Refugio fuese desfavorable se dará un plazo de diez días al ACNUR para que, en su caso, informe.";BOE2009_Art35;35
"1. La concesión del derecho de asilo o de la protección subsidiaria implicará el reconocimiento de los derechos establecidos en la Convención de Ginebra sobre el Estatuto de los Refugiados, en la normativa vigente en materia de extranjería e inmigración, así como en la normativa de la Unión Europea, y, en todo caso:
a) la protección contra la devolución en los términos establecidos en los tratados internacionales firmados por España;
b) el acceso a la información sobre los derechos y obligaciones relacionados con el contenido de la protección internacional concedida, en una lengua que le sea comprensible a la persona beneficiaria de dicha protección;
c) la autorización de residencia y trabajo permanente, en los términos que establece la Ley Orgánica 4/2000, de 11 de enero, sobre derechos y libertades de los extranjeros en España y su integración social;
d) la expedición de documentos de identidad y viaje a quienes les sea reconocida la condición de refugiado, y, cuando sea necesario, para quienes se beneficien de la protección subsidiaria;
e) el acceso a los servicios públicos de empleo;
f) el acceso a la educación, a la asistencia sanitaria, a la vivienda, a la asistencia social y servicios sociales, a los derechos reconocidos por la legislación aplicable a las personas víctimas de violencia de género, en su caso, a la seguridad social y a los programas de integración, en las mismas condiciones que los españoles;
g) el acceso, en las mismas condiciones que los españoles, a la formación continua u ocupacional y al trabajo en prácticas, así como a los procedimientos de reconocimiento de diplomas y certificados académicos y profesionales y otras pruebas de calificaciones oficiales expedidas en el extranjero;
h) la libertad de circulación;
i) el acceso a los programas de integración con carácter general o específico que se establezcan;
j) el acceso a los programas de ayuda al retorno voluntario que puedan establecerse;
k) el mantenimiento de la unidad familiar en los términos previstos en la presente Ley y acceso a los programas de apoyo que a tal efecto puedan establecerse.
2. Con el fin de facilitar la integración de las personas con estatuto de protección internacional, se establecerán los programas necesarios, procurando la igualdad de oportunidades y la no discriminación en su acceso a los servicios generales.
3. Las personas con estatuto de protección internacional podrán seguir beneficiándose de todos o algunos de los programas o prestaciones de que hubieran disfrutado con anterioridad a la concesión del estatuto en aquellos casos en que circunstancias especiales así lo requieran, con sometimiento al régimen previsto para tales programas y prestaciones por el Ministerio de Trabajo e Inmigración.
4. En casos específicos, debido a dificultades sociales o económicas, las Administraciones Públicas podrán poner en marcha servicios complementarios a los sistemas públicos de acceso al empleo, a la vivienda y a los servicios educativos generales, así como servicios especializados de interpretación y traducción de documentos, ayudas permanentes para ancianos y personas con discapacidad y ayudas económicas de emergencia.";BOE2009_Art36;36
"La no admisión a trámite o la denegación de las solicitudes de protección internacional determinarán, según corresponda, el retorno, la devolución, la expulsión, la salida obligatoria del territorio español o el traslado al territorio del Estado responsable del examen de la solicitud de asilo de las personas que lo solicitaron, salvo que, de acuerdo con la Ley Orgánica 4/2000, de 11 de enero, y su normativa de desarrollo, se dé alguno de los siguientes supuestos:
a) que la persona interesada reúna los requisitos para permanecer en España en situación de estancia o residencia;
b) que se autorice su estancia o residencia en España por razones humanitarias determinadas en la normativa vigente.";BOE2009_Art37;37
"Con el fin de atender casos que se presenten fuera del territorio nacional, siempre y cuando el solicitante no sea nacional del país en que se encuentre la Representación diplomática y corra peligro su integridad física, los Embajadores de España podrán promover el traslado del o de los solicitantes de asilo a España para hacer posible la presentación de la solicitud conforme al procedimiento previsto en esta Ley.
El Reglamento de desarrollo de esta Ley determinará expresamente las condiciones de acceso a las Embajadas y Consulados de los solicitantes, así como el procedimiento para evaluar las necesidades de traslado a España de los mismos.";BOE2009_Art38;38
"1. Se garantizará el mantenimiento de la familia de las personas refugiadas y beneficiarias de protección subsidiaria en los términos previstos los artículos 40 y 41 de la presente Ley.
2. Cuando, durante la tramitación de una solicitud de protección internacional, los miembros de la familia de la persona interesada a los que se hace referencia en el artículo 40 se encontrasen también en España, y no hubiesen presentado una solicitud independiente de protección internacional, se les autorizará la residencia en España con carácter provisional, condicionada a la resolución de la solicitud de protección internacional y en los términos que reglamentariamente se determinen.";BOE2009_Art39;39
"1. El restablecimiento de la unidad familiar de las personas refugiadas y beneficiarias de protección subsidiaria podrá garantizarse mediante la concesión, respectivamente, del derecho de asilo o de la protección subsidiaria por extensión familiar, en los siguientes supuestos:
a) Los ascendientes en primer grado que acreditasen la dependencia y sus descendientes en primer grado que fueran menores de edad, quedando exceptuado el derecho a la extensión familiar en los supuestos de distinta nacionalidad.
Las relaciones familiares de los ascendientes y descendientes deberán establecerse mediante las pruebas científicas que sean necesarias, en los casos donde no pueda determinarse sin dudas esa relación de parentesco.
b) El cónyuge o persona ligada por análoga relación de afectividad y convivencia, salvo los supuestos de divorcio, separación legal, separación de hecho, distinta nacionalidad o concesión del estatuto de refugiado por razón de género, cuando en el expediente de la solicitud quede acreditado que la persona ha sufrido o tenido fundados temores de sufrir persecución singularizada por violencia de género por parte de su cónyuge o conviviente.
c) Otro adulto que sea responsable del beneficiario de protección internacional, de acuerdo con la legislación española vigente, cuando dicho beneficiario sea un menor no casado.
d) Podrá también concederse asilo o protección subsidiaria por extensión familiar a otros miembros de la familia de la persona refugiada o beneficiaria de protección subsidiaria siempre que resulte suficientemente establecida la dependencia respecto de aquellas y la existencia de convivencia previa en el país de origen.
2. La Oficina de Asilo y Refugio tramitará las solicitudes de extensión familiar presentadas. Una vez instruidas se procederá, previo estudio en la Comisión interministerial de Asilo y Refugio, a elevar la propuesta de resolución al Ministro del Interior, quien resolverá.
3. La resolución por la que se acuerde la concesión del derecho de asilo o de la protección subsidiaria por extensión familiar conllevará para los beneficiarios los efectos previstos en el artículo 36.
4. En ningún caso se concederá protección internacional por extensión familiar a las personas incursas en los supuestos previstos en los apartados 2 y 3 del artículo 8 y en los artículos 9, 11 y 12 de la presente ley.";BOE2009_Art40;40
"1. Las personas refugiadas y beneficiarias de protección subsidiaria podrán optar por reagrupar a las enumeradas en el artículo anterior, aun cuando ya se encontrasen en España, sin solicitar la extensión del estatuto de que disfruten. Esta reagrupación será siempre aplicable cuando los beneficiarios sean de nacionalidad distinta a la persona refugiada o beneficiaria de protección subsidiaria.
2. En este supuesto, que se desarrollará reglamentariamente, no se exigirá a los refugiados o beneficiarios de la protección subsidiaria, ni tampoco a los beneficiarios de la reagrupación familiar, los requisitos establecidos en la normativa vigente de extranjería e inmigración.
3. La resolución por la que se acuerde la reagrupación familiar implicará la concesión de autorización de residencia y, en su caso, de trabajo, de análoga validez a la de la persona reagrupante.
4. La reagrupación familiar será ejercitable una sola vez, sin que las personas que hubiesen sido reagrupadas y obtenido autorización para residir en España en virtud de lo dispuesto en el apartado anterior puedan solicitar reagrupaciones sucesivas de sus familiares.
5. En ningún caso se concederá protección internacional por extensión familiar a las personas incursas en los supuestos previstos en los apartados 2 y 3 del artículo 8 y en los artículos 9, 11 y 12 de la presente Ley.";BOE2009_Art41;41
"1. Cesarán en la condición de refugiados quienes:
a) expresamente así lo soliciten;
b) se hayan acogido de nuevo, voluntariamente, a la protección del país de su nacionalidad;
c) habiendo perdido su nacionalidad, la hayan recobrado voluntariamente;
d) hayan adquirido una nueva nacionalidad y disfruten de la protección del país de su nueva nacionalidad;
e) se hayan establecido, de nuevo, voluntariamente, en el país que habían abandonado, o fuera del cual habían permanecido, por temor a ser perseguidos;
f) hayan abandonado el territorio español y fijado su residencia en otro país;
g) no puedan continuar negándose a la protección del país de su nacionalidad por haber desaparecido las circunstancias en virtud de las cuales fueron reconocidos como refugiados; el Estado español tendrá en cuenta si el cambio de circunstancias es lo suficientemente significativo, sin ser de carácter temporal, como para dejar de considerar fundados los temores del refugiado a ser perseguido;
h) no teniendo nacionalidad, puedan regresar al país de su anterior residencia habitual por haber desaparecido las circunstancias en virtud de las cuales fueron reconocidos como refugiados.
2. El cese en la condición de refugiado no impedirá la continuación de la residencia en España conforme a la normativa vigente en materia de extranjería e inmigración. A estos efectos se tendrá en cuenta el período de tiempo que los interesados hayan residido legalmente en nuestro país.";BOE2009_Art42;42
"1. La protección subsidiaria cesará cuando:
a) se solicite expresamente por la persona beneficiaria;
b) la persona beneficiaria haya abandonado el territorio español y fijado su residencia en otro país;
c) las circunstancias que condujeron a su concesión dejen de existir o cambien de tal forma que dicha protección ya no sea necesaria. El Estado español tendrá en cuenta si el cambio de circunstancias es lo suficientemente significativo, sin ser de carácter temporal, como para que la persona con derecho a protección subsidiaria ya no corra un riesgo real de sufrir daños graves.
2. El cese en la protección subsidiaria no impedirá la continuación de la residencia en España conforme a la normativa vigente en materia de extranjería e inmigración. A estos efectos se tendrá en cuenta el período que los interesados hayan residido legalmente en nuestro país.";BOE2009_Art43;43
"Artículo 44. Revocación.
1. Procederá la revocación del estatuto de refugiado o del estatuto de protección subsidiaria cuando:
a) concurra alguno de los supuestos de exclusión previstos en los artículos 8, 9, 11 y 12 de esta Ley;
b) la persona beneficiaria haya tergiversado u omitido hechos, incluido el uso de documentos falsos, que fueron decisivos para la concesión del estatuto de refugiado o de protección subsidiaria;
c) la persona beneficiaria constituya, por razones fundadas, un peligro para la seguridad de España, o que, habiendo sido condenada por sentencia firme por delito grave, constituya una amenaza para la comunidad.
2. La revocación de la protección internacional conllevará la inmediata aplicación de la normativa vigente en materia de extranjería e inmigración, y, cuando así procediera, la tramitación del correspondiente expediente administrativo sancionador para la expulsión del territorio nacional de la persona interesada, de conformidad con lo previsto en el artículo 57 de la Ley Orgánica 4/2000, de 11 de enero, y en su normativa de desarrollo.
3. A los efectos previstos en el apartado anterior, la Oficina de Asilo y Refugio dará traslado inmediato de la revocación al órgano competente para incoar el correspondiente expediente sancionador.
4. No obstante lo dispuesto en los anteriores apartados, ninguna revocación ni eventual expulsión posterior podrá determinar el envío de los interesados a un país en el que exista peligro para su vida o su libertad o en el que estén expuestos a tortura o a tratos inhumanos o degradantes o, en su caso, en el que carezca de protección efectiva contra la devolución al país perseguidor o de riesgo.";BOE2009_Art44;44
"1. La Oficina de Asilo y Refugio iniciará, de oficio o a instancia de parte, cuando concurra causa legal suficiente, los procedimientos de cese y revocación de la protección internacional concedida, haciéndoselo saber a los interesados.
2. En los supuestos de cese y revocación del estatuto de refugiado y de la protección subsidiaria, la persona afectada disfrutará, además de las previstas en el artículo 17, de las siguientes garantías:
a) que sea informada por escrito de que se está reconsiderando su derecho de asilo o de protección subsidiaria, así como de los motivos de dicha reconsideración;
b) que le sea otorgado trámite de audiencia para la formulación de alegaciones.
c) que la autoridad competente pueda obtener información precisa y actualizada de diversas fuentes, como por ejemplo, cuando proceda, del Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR), sobre la situación general existente en los países de origen de las personas afectadas, y
d) que cuando se recopile información sobre el caso concreto con objeto de reconsiderar el estatuto de refugiado, dicha información no se obtenga de los responsables de la persecución de modo tal que dé lugar a que dichos responsables sean informados directamente de que la persona interesada es un refugiado cuyo estatuto está siendo reconsiderado, ni se ponga en peligro la integridad física de la persona interesada y de las personas a su cargo, ni la libertad y la seguridad de sus familiares que aún vivan en el país de origen.
3. A la vista de las actuaciones practicadas en la tramitación del expediente, la Oficina de Asilo y Refugio podrá archivar el expediente, si no fuesen fundadas las causas de cese o revocación inicialmente advertidas.
4. Completado el expediente de cese o revocación, el mismo será remitido por la Oficina de Asilo y Refugio a la Comisión Interministerial de Asilo y Refugio. Si ésta entendiese que no concurren causas suficientes para proceder a la declaración de cese o revocación, ordenará el archivo del expediente.
5. Si, por el contrario, a criterio de la Comisión Interministerial de Asilo y Refugio procediese el cese o la revocación, aquélla elevará la propuesta de resolución al Ministro del Interior, que será quien resuelva.
6. Los ceses y revocaciones conllevarán el cese en el disfrute de todos los derechos inherentes a la condición de refugiado o persona beneficiaria de protección subsidiaria.
7. El plazo para la notificación de las resoluciones recaídas en estos procedimientos será de seis meses a partir de la presentación de la solicitud por la persona interesada o de la notificación del acuerdo de incoación del procedimiento de cese o revocación. Concluido dicho plazo, y habida cuenta de las suspensiones o ampliaciones que fuesen aplicables, se tendrá por caducado el expediente, procediéndose de oficio a su archivo.
8. Las resoluciones previstas en este Título pondrán fin a la vía administrativa y serán susceptibles de recurso de reposición con carácter potestativo ante el Ministro del Interior y de recurso contencioso-administrativo.";BOE2009_Art45;45
"1. En el marco de la presente Ley, y en los términos en que se desarrolle reglamentariamente, se tendrá en cuenta la situación específica de las personas solicitantes o beneficiarias de protección internacional en situación de vulnerabilidad, tales como menores, menores no acompañados, personas con discapacidad, personas de edad avanzada, mujeres embarazadas, familias monoparentales con menores de edad, personas que hayan padecido torturas, violaciones u otras formas graves de violencia psicológica o física o sexual y víctimas de trata de seres humanos.
2. Dada su situación de especial vulnerabilidad, se adoptarán las medidas necesarias para dar un tratamiento diferenciado, cuando sea preciso, a las solicitudes de protección internacional que efectúen las personas a las que se refiere el apartado anterior. Asimismo, se dará un tratamiento específico a aquéllas que, por sus características personales, puedan haber sido objeto de persecución por varios de los motivos previstos en la presente Ley.
3. Por razones humanitarias distintas de las señaladas en el estatuto de protección subsidiaria, se podrá autorizar la permanencia de la persona solicitante de protección internacional en España en los términos previstos por la normativa vigente en materia de extranjería e inmigración.";BOE2009_Art46;46
Los menores solicitantes de protección internacional que hayan sido víctimas de cualquier forma de abuso, negligencia, explotación, tortura, trato cruel, inhumano, o degradante, o que hayan sido víctimas de conflictos armados recibirán la asistencia sanitaria y psicológica adecuada y la asistencia cualificada que precisen.;BOE2009_Art47;47
"1. Los menores no acompañados solicitantes de protección internacional serán remitidos a los servicios competentes en materia de protección de menores y el hecho se pondrá en conocimiento del Ministerio Fiscal.
2. En los supuestos en los que la minoría de edad no pueda ser establecida con seguridad, se pondrá el hecho en conocimiento inmediato del Ministerio Fiscal, que dispondrá lo necesario para la determinación de la edad del presunto menor, para lo que colaborarán las instituciones sanitarias oportunas que, con carácter prioritario y urgente, realizarán las pruebas científicas necesarias. La negativa a someterse a tal reconocimiento médico no impedirá que se dicte resolución sobre la solicitud de protección internacional. Determinada la edad, si se tratase de una persona menor de edad, el Ministerio Fiscal lo pondrá a disposición de los servicios competentes de protección de menores.
3. De forma inmediata se adoptarán medidas para asegurar que el representante de la persona menor de edad, nombrado de acuerdo con la legislación vigente en materia de protección de menores, actúe en nombre del menor de edad no acompañado y le asista con respecto al examen de la solicitud de protección internacional.";BOE2009_Art48;48
"El marco de protección previsto en la presente Ley será de aplicación a las personas acogidas en España en virtud de programas de Reasentamiento elaborados por el Gobierno de la Nación, en colaboración con el Alto Comisionado de las Naciones Unidas para los Refugiados, y, en su caso, otras Organizaciones Internacionales relevantes. El Consejo de Ministros, a propuesta de los Ministros del Interior y de Trabajo e Inmigración, oída la Comisión Interministerial de Asilo y Refugio, acordará anualmente el número de personas que podrán ser objeto de reasentamiento en España en virtud de estos programas.
Los refugiados reasentados en España tendrán el mismo estatuto que los refugiados reconocidos en virtud de las disposiciones de la presente Ley.";BOE2009_DisA1;49
La protección temporal en caso de afluencia masiva de personas desplazadas será la prevista en el Reglamento sobre régimen de protección temporal en caso de afluencia masiva de personas desplazadas, aprobado por el Real Decreto 1325/2003, de 24 de octubre.;BOE2009_DisA2;50
La Administración General del Estado velará por que los empleados públicos y demás personas que se ocupen de los solicitantes de protección internacional, refugiados y personas beneficiarias de protección subsidiaria, dispongan de la formación adecuada. A estos efectos, los Ministerios competentes elaborarán programas formativos que les permitan adquirir las capacidades necesarias para el desempeño de los puestos de trabajo.;BOE2009_DisA3;51
"Las Comunidades Autónomas, de acuerdo con sus respectivas competencias en los ámbitos sanitario, educativo y social gestionarán los servicios y programas específicamente destinados a las personas solicitantes de asilo, en coordinación y cooperación con la Administración General del Estado.
Asimismo, facilitarán el acceso a la información respecto de los recursos sociales específicos para este colectivo, así como sobre las diferentes organizaciones de atención especializada a personas solicitantes de asilo.";BOE2009_DisA4;52
Las autoridades españolas, en el marco de la presente Ley, adoptarán todas las medidas necesarias, con objeto de reforzar el sistema europeo común de asilo y de protección internacional.;BOE2009_DisA5;53
Los poderes públicos promoverán la actividad de las asociaciones no lucrativas legalmente reconocidas entre cuyos objetivos figuren el asesoramiento y ayuda a las personas necesitadas de protección internacional. Sus informes se incorporarán a los oportunos expedientes de solicitudes de protección internacional incoados por el Ministerio del Interior.;BOE2009_DisA6;54
En lo no previsto en materia de procedimiento en la presente Ley, será de aplicación con carácter supletorio la Ley 30/1992, de 26 de noviembre.;BOE2009_DisA7;55
"El Gobierno remitirá a las Cortes Generales un informe anual sobre el número de personas que han solicitado asilo o protección subsidiaria, el número de personas a las que les ha sido concedido o denegado tal estatuto, así como del número de reasentamientos que se hayan efectuado y número de personas beneficiarias de la reagrupación familiar; ceses y revocaciones y situación específica de menores u otras personas vulnerables.";BOE2009_DisA8;56
Los procedimientos administrativos en tramitación a la entrada en vigor de esta Ley se instruirán y resolverán de acuerdo con lo previsto en ella, salvo que los interesados soliciten expresamente la aplicación de la normativa vigente en el momento de presentación de la solicitud, por considerarlo más favorable a sus intereses.;BOE2009_DisT1;57
Las personas que hubieran obtenido una autorización para permanecer en España por razones humanitarias conforme a lo previsto en el artículo 17.2 de la Ley 5/1984, de 26 de marzo, reguladora del derecho de asilo y de la condición de refugiado, y en los términos de lo dispuesto en el apartado tercero del artículo 31 de su Reglamento de aplicación, aprobado por el Real Decreto 203/1995, de 10 de febrero, podrán beneficiarse del derecho a la protección subsidiaria previsto en esta Ley.;BOE2009_DisT2;58
Queda derogada la Ley 5/1984, de 26 de marzo, reguladora del derecho de asilo y de la condición de refugiado, y cuantas disposiciones de igual o inferior rango se opongan a lo establecido en esta Ley.;BOE2009_DisD1;59
Esta Ley se dicta al amparo de lo dispuesto en el artículo 149.1.2ª de la Constitución, que atribuye al Estado la competencia exclusiva sobre el derecho de asilo.;BOE2009_DisF1;60
"Mediante esta Ley se incorporan al Derecho español la Directiva 2003/86/CE, del Consejo, de 22 de septiembre, sobre el derecho a la reagrupación familiar; la Directiva 2004/83/CE, del Consejo, de 29 de abril, por la que se establecen normas mínimas relativas a los requisitos para el reconocimiento y el estatuto de nacionales de terceros países o apátridas como refugiados o personas que necesitan otro tipo de protección internacional, y al contenido de la protección concedida; y la Directiva 2005/85/CE, del Consejo, de 1 de diciembre, sobre normas mínimas para los procedimientos que deben aplicar los Estados miembros para conceder o retirar la condición de refugiado.";BOE2009_DisF2;61
"Mediante esta Ley se incorporan al Derecho español la Directiva 2003/86/CE, del Consejo, de 22 de septiembre, sobre el derecho a la reagrupación familiar; la Directiva 2004/83/CE, del Consejo, de 29 de abril, por la que se establecen normas mínimas relativas a los requisitos para el reconocimiento y el estatuto de nacionales de terceros países o apátridas como refugiados o personas que necesitan otro tipo de protección internacional, y al contenido de la protección concedida; y la Directiva 2005/85/CE, del Consejo, de 1 de diciembre, sobre normas mínimas para los procedimientos que deben aplicar los Estados miembros para conceder o retirar la condición de refugiado.";BOE2009_DisF3;62
"La presente Ley entrará en vigor a los veinte días de su publicación en el Boletín Oficial del Estado.
Por tanto,
Mando a todos los españoles, particulares y autoridades, que guarden y hagan guardar esta Ley.
Madrid, 30 de octubre de 2009.";BOE2009_DisF4;63
Este real decreto se dicta al amparo de lo dispuesto en el artículo 149.1.2.ª de la Constitución, que atribuye al Estado la competencia exclusiva en materia de extranjería y derecho de asilo.;BOE2022_DisF1;64
Mediante este real decreto se incorpora parcialmente al derecho español la Directiva 2013/33/CE del Parlamento Europeo y del Consejo, de 26 de junio de 2013, por la que se aprueban normas para la acogida de los solicitantes de protección internacional.;BOE2022_DisF2;65
"1. Se faculta a la persona titular del Ministerio de Inclusión, Seguridad Social y Migraciones, en el ámbito de sus competencias, para dictar las disposiciones y adoptar las medidas necesarias para el desarrollo y ejecución de este real decreto y del reglamento que aprueba.
2. En particular, el título V del reglamento será objeto de desarrollo por orden ministerial, mediante la cual se determinarán los requisitos exigidos a las entidades interesadas, así como las condiciones administrativas, técnicas, temporales y económicas en las que se desarrollará el proceso de acción concertada.";BOE2022_DisF3;66
"Este real decreto entrará en vigor el día siguiente al de su publicación en el «Boletín Oficial del Estado».
Dado en Madrid, el 29 de marzo de 2022.";BOE2022_DisF4;67
El objeto de este reglamento es desarrollar lo dispuesto en el capítulo III del título II de la Ley 12/2009, de 30 de octubre, reguladora del derecho de asilo y de la protección subsidiaria, configurando el sistema de acogida en materia de protección internacional.;BOE2022_Art01;68
